=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.06.10 11:17:53 =~=~=~=~=~=~=~=~=~=~=~=
# Ready. Send 's' to start, 'x' to stop.
# Recording started.
timestamp_sec,source,value1,vlue2
7.312972,tfmini,0,8048
7.326120,tfmini,45,274
7.329376,tfmini,147,376
7.348216,laser,544,
7.361480,tfmini,0,126
7.362800,tfmini,0,126
7.364080,tfmini,0,268
7.366448,tfmini,33,378
7.385656,tfmini,313,1882
7.389144,tfmini,312,1869
7.390560,laser,9,
7.407432,tfmini,33,359
7.426264,tfmini,312,1875
7.430680,laser,668,
7.436544,tfmini,7,7443
7.440552,tfmini,0,1338
7.449064,tfmini,14,256
7.452336,tfmini,60,375
7.453672,tfmini,38,1883
7.457016,tfmini,284,1877
7.459280,tfmini,303,1881
7.469060,tfmini,312,1867
7.471168,laser,603,
7.492848,tfmini,133,368
7.495200,tfmini,52,1884
7.504720,tfmini,312,1874
7.510848,laser,705,
7.511952,tfmini,312,1900
7.519360,tfmini,0,7703
7.524008,tfmini,0,267
7.528096,tfmini,0,290
